AKGWA_NUMBER,Lat83,Long83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
30003845,3900213.53,5855748.68,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,25
30004417,3810971.23,5797694.12,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,25
30004453,3824115.77,5746728.2,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,25
60000459,3885945.02,5719420.77,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,25
80057103,4047192.92,5761157.85,Greenup,7/19/2009,MONITORING WELL - AMBIENT MONITORING,673.8,26.4
30002025,3833429.59,5806012.17,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,30
30002396,3896916.83,5846835.84,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,30
30002782,3861553.24,5782452.24,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,30
30003447,3856993.15,5790221.19,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,30
30005946,3978611.9,5765566.77,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,30
30006581,3916155.12,5845799.46,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,30
30007038,3902344.69,5750903.66,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,30
60000458,3827395.41,5734165.22,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,30
30006595,3939434.64,5809122.56,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,31
40001639,3851762.98,5740249.61,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,31
30006153,3921547.72,5734439.24,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,32
60000683,4069523.43,5775481.86,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,32
30001019,3814123.01,5745183.02,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,34
60000468,3819283.58,5810479.15,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,34
30002965,3906889.71,5742348.36,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30002991,3950810.56,5754961.38,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30003525,3893127.31,5812298.54,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30005703,3953686.06,5792651.39,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30005930,3928979.19,5809152.03,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30005945,3976828.86,5791840.11,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
60000288,3894078.19,5819948.15,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
60000289,3894051.45,5819148.16,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30001936,3819826.35,5794399.43,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,36
30002155,3882826.39,5735669,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,36
30003294,3892626.35,5779002.7,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,36
40003257,3818995.39,5776588.54,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,36
80002931,4054319.26,5757119.81,Greenup,10/6/1992,MONITORING WELL - AMBIENT MONITORING,680,37.8
80008907,4098088.27,5792739.65,Greenup,10/15/1993,MONITORING WELL - AMBIENT MONITORING,550,38
30006155,3927205.61,5833406.43,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,38
40003983,3813864.77,5767913.72,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,38
30005465,3914259.39,5781108.65,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,40
60000471,3890747.51,5724404.29,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,43
30006133,3901092.91,5833660.02,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,44
40003361,3809091.24,5776982.33,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,44
30002162,3886402.73,5758404.83,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,45
30002995,3969427.17,5783769.59,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,45
30006139,3907498.29,5842004.62,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,45
30001000,3810042.97,5810510.02,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,48
30002984,3931975.69,5735909.46,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,48
30005917,3912937.15,5832681.7,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,48
40002767,3833772.71,5737584.36,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,48
00007972,4039562.53,5754417.56,Greenup,9/20/1989,DOMESTIC - SINGLE HOUSEHOLD,640,50
30002400,3894361.82,5709628.52,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,50
30005942,3962508.34,5786121.1,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,50
40004200,3822344.02,5767246.16,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,50
40006189,3808560.64,5776195.53,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,50
40003525,3839229.98,5757163.89,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,51
30002343,3869374.37,5774118.18,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,52
30002818,3876320.4,5746888.38,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,52
60000295,3932659.54,5738427.96,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,52
40004160,3819527.99,5758097.35,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,53
30001686,3811825.82,5753409,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,54
30002038,3838001.18,5796555.5,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,54
30009804,3881579.09,5825435.59,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,54
60000467,3848079.99,5758654.73,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,54
00054938,3884924.37,5859593.27,Lawrence,1/1/1940,DOMESTIC - SINGLE HOUSEHOLD,600,55
30001889,3803213.95,5761140.07,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,55
40001418,3839667.73,5764694.01,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,55
60000469,3824391.3,5758266.43,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,55
60000298,3862492.68,5813545.26,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,55.5
40003035,3841236.73,5756621.14,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,56
00042824,4122695.97,5693705.46,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,810,58
80002932,4054309.07,5757120.13,Greenup,10/6/1992,MONITORING WELL - AMBIENT MONITORING,680,58
30001923,3814906.91,5766936.72,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,58
