AKGWA_NUMBER,lat83,lon83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
30002782,37.890386,-82.765057,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,30
30003447,37.877183,-82.738658,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,30
30005946,38.213169,-82.810769,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,30
30006581,38.034483,-82.539152,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,30
30007038,38.005079,-82.869972,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,30
60000458,37.800741,-82.935885,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,30
80057103,38.401785,-82.81861,Greenup,7/19/2009,MONITORING WELL - AMBIENT MONITORING,673.8,26.4
30003845,37.989784,-82.506551,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,25
30004417,37.750191,-82.717959,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,25
30004453,37.790689,-82.892769,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,25
60000459,37.962678,-82.980884,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,25
30006603,38.182969,-82.786673,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,24
40001715,37.821016,-82.886994,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,22
60000461,37.816018,-82.954775,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,22
60000669,38.45794,-82.823108,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,22
30010182,38.083374,-82.814673,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,21
30002997,38.222168,-82.773169,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,20
30003225,37.88529,-82.660256,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,20
30007069,38.171369,-82.821174,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,20
30009787,37.918684,-82.670854,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,20
60000293,38.003788,-82.948107,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,20
60000462,37.979619,-82.967829,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,20
60000703,37.819627,-82.904497,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,20
80057102,38.401767,-82.818637,Greenup,8/18/2009,MONITORING WELL - AMBIENT MONITORING,670,19
60000296,38.129896,-82.853386,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,19
60000676,38.485719,-82.71505,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,19
30009812,37.952385,-82.752162,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,18
60000464,37.966844,-82.971996,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,18
30006149,38.039776,-82.877274,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,17
40007538,37.777968,-82.85366,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,17
60000292,37.970183,-82.830603,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,17
30001061,37.803383,-82.966472,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,16
30001963,37.800892,-82.760456,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,16
60000673,38.484605,-82.753381,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,16
60000682,38.456273,-82.767274,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,16
54662,37.859594,-82.681407,Johnson,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,617,15
80008498,38.555636,-82.7895,Greenup,5/4/1993,MONITORING WELL - AMBIENT MONITORING,539.9,15
30000085,37.737689,-82.927371,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,15
30000124,37.77229,-82.672356,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,15
30000138,37.785289,-82.774365,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,15
30005445,37.993983,-82.810567,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,15
30005924,38.049178,-82.620659,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,15
60000470,37.974622,-82.962832,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,14.5
80057101,38.40175,-82.818664,Greenup,8/20/2009,MONITORING WELL - AMBIENT MONITORING,670,14
80008085,38.405998,-82.827359,Greenup,4/12/1989,MONITORING WELL - AMBIENT MONITORING,628.4,13
60000300,37.888795,-82.658089,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,12.5
30000569,37.961283,-82.88227,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,12
40004074,38.221001,-82.775878,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,720,12
60000473,37.977678,-82.958384,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,8.5
30010192,38.161768,-82.765868,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,8
60000466,37.855741,-82.848663,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,7
